Date,Open,High,Low,Close,Volume
2025-01-01,5838.48,5892.22,5854.26,5860.84,4287900
2025-01-08,6085.86,6127.41,6000.6,6050.96,4621192
2025-01-15,6071.9,6099.39,6053.22,6080.13,4414321
2025-01-22,6120.99,6197.89,6073.39,6083.04,1370733
2025-01-29,6260.65,6360.41,6258.62,6261.24,3188095
2025-02-05,6180.05,6263.46,6093.92,6192.99,3237422
2025-02-12,5968.85,5982.49,5929.55,5956.06,1022793
2025-02-19,6141.96,6182.17,6059.45,6106.27,3347979
2025-02-26,6293.43,6328.59,6217.76,6260.42,4976189
2025-03-05,6230.55,6354.18,6195.68,6249.86,1374275
2025-03-12,6359.54,6496.88,6346.64,6396.55,4957791
2025-03-19,6407.46,6498.98,6416.65,6427.1,3657000
2025-03-26,6426.69,6569.52,6365.71,6451.76,4857740
2025-04-02,6642.52,6722.27,6564.17,6639.56,1348981
2025-04-09,6762.59,6826.77,6648.91,6783.41,4289299
2025-04-16,6924.38,6919.4,6747.0,6884.55,1439395
2025-04-23,6714.38,6702.64,6615.75,6658.82,3793537
2025-04-30,6770.83,6817.81,6689.17,6796.4,3680026
2025-05-07,6961.35,6895.36,6819.29,6894.72,2735215
2025-05-14,6892.34,6941.76,6772.0,6871.91,2284113
2025-05-21,6946.23,7046.73,6879.5,6967.55,2946888
2025-05-28,6847.64,6952.15,6833.57,6892.58,3836283
2025-06-04,6971.75,7121.39,6980.2,7028.15,1943859
2025-06-11,7101.13,7203.4,7031.33,7126.85,3190137
2025-06-18,7297.16,7374.21,7202.34,7331.2,4227600
2025-06-25,7178.38,7221.43,7161.77,7197.8,2021478
2025-07-02,7069.51,7222.81,6964.37,7094.97,1560310
2025-07-09,6963.25,6971.08,6885.66,6906.03,4150990
2025-07-16,6678.96,6699.79,6591.91,6630.27,3491233
2025-07-23,6643.01,6729.9,6611.7,6698.4,4183330
2025-07-30,6781.02,6878.41,6685.68,6745.77,4425446
2025-08-06,6599.51,6629.35,6579.82,6623.64,4054663
2025-08-13,6857.24,6922.23,6797.36,6812.4,2653721
2025-08-20,6867.64,6917.08,6827.05,6845.21,2981166
2025-08-27,6749.58,6811.87,6674.64,6786.41,4363119
2025-09-03,7011.79,7043.79,6940.75,6990.06,1893832
2025-09-10,7027.17,7140.24,6960.95,7056.62,4663631
2025-09-17,6862.58,6925.88,6830.02,6913.4,3322150
2025-09-24,6873.77,6926.56,6733.34,6870.36,1748873
2025-10-01,6862.14,6941.66,6797.53,6830.47,1889872
2025-10-08,7038.06,7209.44,6957.61,7093.68,4319321
2025-10-15,6945.67,7008.53,6878.73,6899.09,1007614
2025-10-22,6833.5,6862.89,6668.66,6790.19,2151298
2025-10-29,6734.73,6810.44,6706.31,6713.93,3794145
2025-11-05,6618.2,6712.34,6592.53,6610.63,1981235
2025-11-12,6585.5,6662.24,6501.4,6629.89,2600635
2025-11-19,6775.56,6828.41,6796.2,6822.36,1005713
2025-11-26,6997.13,7099.8,6937.04,7038.61,3054934
2025-12-03,7172.14,7236.22,7138.19,7156.7,2914077
2025-12-10,7349.14,7339.49,7195.38,7282.33,2191496
2025-12-17,7323.39,7362.51,7243.93,7253.18,4146506
2025-12-24,7364.55,7366.29,7220.25,7339.19,1900082
2025-12-31,7623.49,7702.29,7514.76,7582.46,3749493
2026-01-07,7726.17,7676.91,7581.36,7674.07,1690173
2026-01-14,7627.41,7695.78,7514.74,7639.15,3391813
2026-01-21,7474.38,7563.31,7376.59,7443.5,1687734
2026-01-28,7443.51,7527.4,7402.2,7493.29,1685559
2026-02-04,7653.64,7635.42,7534.71,7595.35,1273247
2026-02-11,7339.81,7520.83,7274.81,7376.25,3467191
2026-02-18,7263.67,7359.75,7258.53,7302.94,4747759
2026-02-25,7068.58,7234.76,7035.97,7109.37,3975665
2026-03-04,7172.94,7117.15,6963.78,7105.52,2108908
2026-03-11,7090.06,7169.07,6928.95,7065.5,3013133
2026-03-18,7224.84,7377.09,7132.23,7271.6,4330733
2026-03-25,7016.7,7090.32,7000.3,7045.84,2414053
2026-04-01,7078.92,7236.69,7118.61,7133.73,4941979
2026-04-08,7187.71,7230.32,7156.67,7185.28,3524478
2026-04-15,7297.46,7510.94,7305.02,7365.59,2781376
2026-04-22,7402.82,7466.15,7217.87,7362.35,1539812
2026-04-29,7371.74,7463.55,7289.99,7417.99,1987218
2026-05-06,7469.54,7457.09,7413.72,7434.33,2679368
2026-05-13,7459.21,7533.24,7463.4,7491.1,2366187
2026-05-20,7564.45,7573.18,7438.66,7522.22,4771733
2026-05-27,7768.4,7761.03,7632.79,7704.9,4301470
2026-06-03,7898.35,7916.85,7868.12,7908.0,3855208
2026-06-10,7720.75,7789.23,7687.96,7783.49,2475041
2026-06-17,8115.64,8280.58,8085.45,8182.02,3191351
2026-06-24,7991.08,8184.7,7998.37,8031.33,3002124
2026-07-01,8215.43,8207.49,8055.84,8193.47,2423770
2026-07-08,8194.26,8200.28,7972.61,8129.94,4388294
2026-07-15,8031.91,8109.28,8100.81,8109.07,3214137
2026-07-22,8304.08,8411.16,8355.82,8367.59,4645643
2026-07-29,8290.61,8359.74,8206.2,8277.42,3681796
2026-08-05,7979.62,8147.38,7966.29,8053.63,3249376
2026-08-12,7953.67,8049.83,7948.16,7981.25,4766788
2026-08-19,7837.92,7988.15,7704.16,7837.6,3608599
2026-08-26,7799.62,7973.18,7754.63,7865.23,2079138
2026-09-02,8193.22,8262.84,8091.04,8164.49,3387035
